Address,District,Beds,Baths,Longitudes,Latitudes,Price,Size,Website,Distance,Type
5562 Hobart Street near Wightman Street,Squirrel Hill,1,1,-79.928155,40.432143,1165,874,https://pittsburgh.craigslist.org/apa/d/pittsburgh-available-january-4-schenley/7028689980.html,1.738273059,Apartment
5562 Hobart Street near Wightman Street,Squirrel Hill,1,1,-79.928616,40.432102,1090,742,https://pittsburgh.craigslist.org/apa/d/pittsburgh-heat-incld-available/7028690550.html,1.687318642,Apartment
2715 Murray Avenue near Forward Avenue,Squirrel Hill,1,1,-79.924078,40.428623,980,660,https://pittsburgh.craigslist.org/apa/d/pittsburgh-available-january-4-shopping/7028682414.html,2.198563997,Apartment
5562 Hobart Street near Wightman Street,Squirrel Hill,2,1,-79.928155,40.432249,1290,912,https://pittsburgh.craigslist.org/apa/d/pittsburgh-available-january-4-heat/7028619984.html,1.738015127,Apartment
5562 Hobart Street near Wightman Street,Squirrel Hill,2,1,-79.928691,40.431988,1420,1070,https://pittsburgh.craigslist.org/apa/d/pittsburgh-available-january-4-hardwood/7028623351.html,1.679305999,Apartment
2715 Murray Avenue near Forward Avenue,Squirrel Hill,1,1,-79.92425,40.42846,870,490,https://pittsburgh.craigslist.org/apa/d/pittsburgh-heat-incld-ac-shopping/7028610289.html,2.179943992,Apartment
2715 Murray Avenue near Forward Avenue,Squirrel Hill,1,1,-79.924883,40.428068,905,500,https://pittsburgh.craigslist.org/apa/d/pittsburgh-heat-included-avail-january/7028612914.html,2.110974187,Apartment
2715 Murray Avenue near Forward Avenue,Squirrel Hill,1,1,-79.924732,40.428019,930,660,https://pittsburgh.craigslist.org/apa/d/pittsburgh-heat-incld-ac-hardwood/7028616072.html,2.12780219,Apartment
Hobart St near Murray Ave,Squirrel Hill,2,1,-79.925151,40.432788,1385,800,https://pittsburgh.craigslist.org/apa/d/pittsburgh-available-br-1ba-on-bus-line/7032158485.html,2.070199774,Apartment
5855 Darlington Road,Squirrel Hill,1,1,-79.920679,40.437068,925,500,https://pittsburgh.craigslist.org/apa/d/pittsburgh-decorative-fireplace-pet/7025718720.html,2.562237493,Apartment
4242 Minnesota near Lloyd,Squirrel Hill,3,1,-79.938931,40.422147,1100,1200,https://pittsburgh.craigslist.org/apa/d/pittsburgh-apartment-2nd-floor/7032083259.html,0.664864327,Apartment
2715 Murray Avenue near Forward Avenue,Squirrel Hill,1,1,-79.924775,40.428043,1055,645,https://pittsburgh.craigslist.org/apa/d/pittsburgh-short-term-lease-available/7028680423.html,2.122982494,Apartment
